date,compliant type,borough,number
14,"Noise, Barking Dog (NR5)",BROOKLYN,1
14,"Noise, Barking Dog (NR5)",MANHATTAN,4
15,"Noise, Barking Dog (NR5)",BRONX,4
15,"Noise, Barking Dog (NR5)",BROOKLYN,23
15,"Noise, Barking Dog (NR5)",MANHATTAN,68
15,"Noise, Barking Dog (NR5)",QUEENS,10
15,"Noise, Barking Dog (NR5)",STATEN ISLAND,1
16,"Noise, Barking Dog (NR5)",BRONX,4
16,"Noise, Barking Dog (NR5)",BROOKLYN,58
16,"Noise, Barking Dog (NR5)",MANHATTAN,52
16,"Noise, Barking Dog (NR5)",QUEENS,12
16,"Noise, Barking Dog (NR5)",STATEN ISLAND,3
17,"Noise, Barking Dog (NR5)",BRONX,3
17,"Noise, Barking Dog (NR5)",BROOKLYN,27
17,"Noise, Barking Dog (NR5)",MANHATTAN,45
17,"Noise, Barking Dog (NR5)",QUEENS,18
17,"Noise, Barking Dog (NR5)",STATEN ISLAND,2
18,"Noise, Barking Dog (NR5)",BRONX,4
18,"Noise, Barking Dog (NR5)",BROOKLYN,27
18,"Noise, Barking Dog (NR5)",MANHATTAN,65
18,"Noise, Barking Dog (NR5)",QUEENS,17
18,"Noise, Barking Dog (NR5)",STATEN ISLAND,4
19,"Noise, Barking Dog (NR5)",BRONX,6
19,"Noise, Barking Dog (NR5)",BROOKLYN,78
19,"Noise, Barking Dog (NR5)",QUEENS,20
19,"Noise, Barking Dog (NR5)",STATEN ISLAND,4
20,"Noise, Barking Dog (NR5)",BRONX,7
20,"Noise, Barking Dog (NR5)",BROOKLYN,15
20,"Noise, Barking Dog (NR5)",QUEENS,9
20,"Noise, Barking Dog (NR5)",STATEN ISLAND,4
